,ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
5514253,3737636,HK823985,12/23/2004 06:50:41 AM,020XX N CICERO AVE,1506,PROSTITUTION,SOLICIT ON PUBLIC WAY,SIDEWALK,True,False,2522,25.0,31.0,19.0,16,1144063.0,1913080.0,2004,04/15/2016 08:55:02 AM,41.917516532,-87.7461396,"(41.917516532, -87.7461396)"
5514254,3737637,HK828359,12/26/2004 05:00:00 AM,007XX W 47TH PL,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,True,False,935,9.0,11.0,61.0,08B,1172118.0,1873370.0,2004,04/15/2016 08:55:02 AM,41.807975943,-87.644236075,"(41.807975943, -87.644236075)"
5514256,3737642,HK834791,12/29/2004 08:10:00 PM,001XX W DIVISION ST,1330,CRIMINAL TRESPASS,TO LAND,OTHER,True,False,1824,18.0,42.0,8.0,26,1175219.0,1908350.0,2004,04/15/2016 08:55:02 AM,41.903894777,-87.631814251,"(41.903894777, -87.631814251)"
5514258,3737645,HK824510,12/23/2004 01:06:26 PM,010XX N CENTRAL PARK AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,True,False,1112,11.0,27.0,23.0,18,1152184.0,1906778.0,2004,04/15/2016 08:55:02 AM,41.900066803,-87.716469117,"(41.900066803, -87.716469117)"
5514259,3737646,HL106280,09/20/2004 12:00:00 AM,100XX S SANGAMON ST,0842,THEFT,AGG: FINANCIAL ID THEFT,RESIDENCE,False,False,2232,22.0,34.0,73.0,06,1171754.0,1838240.0,2004,04/15/2016 08:55:02 AM,41.711582809,-87.64659972,"(41.711582809, -87.64659972)"
5514262,3737651,HK682115,10/12/2004 01:15:00 PM,032XX W ADAMS ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,"SCHOOL, PUBLIC, BUILDING",True,False,1124,11.0,28.0,27.0,18,1154752.0,1898890.0,2004,04/15/2016 08:55:02 AM,41.878370307,-87.707248137,"(41.878370307, -87.707248137)"
5514267,3737659,HK832542,12/28/2004 05:19:47 PM,032XX S THROOP ST,0560,ASSAULT,SIMPLE,SIDEWALK,False,False,924,9.0,11.0,60.0,08A,1168185.0,1883362.0,2004,04/15/2016 08:55:02 AM,41.835480651,-87.658373396,"(41.835480651, -87.658373396)"
5514268,3737660,HK834464,12/29/2004 04:45:00 PM,0000X E CHICAGO AVE,1350,CRIMINAL TRESPASS,TO STATE SUP LAND,OTHER,True,False,1833,18.0,42.0,8.0,26,1176317.0,1905731.0,2004,04/15/2016 08:55:02 AM,41.896683405,-87.627860183,"(41.896683405, -87.627860183)"
5514278,3737680,HK764147,11/20/2004 11:40:00 PM,091XX S COTTAGE GROVE AVE,1513,PROSTITUTION,SOLICIT FOR BUSINESS,STREET,True,False,633,6.0,8.0,44.0,16,1183156.0,1844727.0,2004,04/15/2016 08:55:02 AM,41.729126787,-87.604641957,"(41.729126787, -87.604641957)"
5514283,3737686,HK832608,12/28/2004 05:50:00 PM,044XX S FAIRFIELD AVE,0460,BATTERY,SIMPLE,SIDEWALK,False,False,912,9.0,12.0,58.0,08B,1158777.0,1875044.0,2004,04/15/2016 08:55:02 AM,41.812852725,-87.693121883,"(41.812852725, -87.693121883)"
5514284,3737689,HK834371,12/29/2004 04:25:00 PM,009XX N SEDGWICK ST,1350,CRIMINAL TRESPASS,TO STATE SUP LAND,CHA HALLWAY/STAIRWELL/ELEVATOR,True,False,1823,18.0,27.0,8.0,26,1173332.0,1906723.0,2004,04/15/2016 08:55:02 AM,41.899472338,-87.638793981,"(41.899472338, -87.638793981)"
5514285,3737690,HL104088,01/03/2004 09:20:00 AM,075XX S STONY ISLAND AVE,0890,THEFT,FROM BUILDING,GROCERY FOOD STORE,False,False,411,4.0,8.0,43.0,06,1188224.0,1855489.0,2004,04/15/2016 08:55:02 AM,41.758539527,-87.585734355,"(41.758539527, -87.585734355)"
5514286,3737691,HK824601,12/23/2004 01:55:00 PM,056XX S GREEN ST,2094,NARCOTICS,ATTEMPT POSSESSION CANNABIS,SIDEWALK,True,False,712,7.0,20.0,68.0,18,1171600.0,1867502.0,2004,04/15/2016 08:55:02 AM,41.791884908,-87.64630798,"(41.791884908, -87.64630798)"
5514288,3737693,HL104029,12/30/2004 04:00:00 PM,060XX S LA SALLE ST,0810,THEFT,OVER $500,DRIVEWAY - RESIDENTIAL,False,False,311,3.0,20.0,68.0,06,1176343.0,1864725.0,2004,04/15/2016 08:55:02 AM,41.784159209,-87.628999742,"(41.784159209, -87.628999742)"
5514290,3737694,HK668739,10/05/2004 11:50:00 PM,064XX S WOOD ST,2017,NARCOTICS,MANU/DELIVER:CRACK,RESIDENCE PORCH/HALLWAY,True,False,725,7.0,15.0,67.0,18,1165446.0,1862004.0,2004,04/15/2016 08:55:02 AM,41.776930436,-87.669029392,"(41.776930436, -87.669029392)"
5514296,3737702,HK833167,12/28/2004 11:30:00 PM,003XX S WHIPPLE ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,True,True,1124,11.0,28.0,27.0,08B,1156097.0,1898367.0,2004,04/15/2016 08:55:02 AM,41.876908113,-87.702323689,"(41.876908113, -87.702323689)"
5514298,3737705,HK824745,12/23/2004 02:54:46 PM,013XX S CHRISTIANA AVE,2027,NARCOTICS,POSS: CRACK,SIDEWALK,True,False,1021,10.0,24.0,29.0,18,1154244.0,1893654.0,2004,04/15/2016 08:55:02 AM,41.864012317,-87.709253189,"(41.864012317, -87.709253189)"
5514299,3737707,HK764151,11/21/2004 01:45:00 AM,091XX S COTTAGE GROVE AVE,1513,PROSTITUTION,SOLICIT FOR BUSINESS,STREET,True,False,633,6.0,8.0,44.0,16,1183156.0,1844727.0,2004,04/15/2016 08:55:02 AM,41.729126787,-87.604641957,"(41.729126787, -87.604641957)"
5514300,3737708,HK834578,12/29/2004 05:40:00 PM,033XX W MADISON ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,1124,11.0,28.0,27.0,08B,1154094.0,1899818.0,2004,04/15/2016 08:55:02 AM,41.880929981,-87.70963942,"(41.880929981, -87.70963942)"
5514301,3737709,HL107809,01/03/2004 01:15:00 PM,110XX S WALLACE ST,2850,PUBLIC PEACE VIOLATION,BOMB THREAT,RESIDENCE,False,True,2233,22.0,34.0,49.0,26,1174274.0,1831691.0,2004,04/15/2016 08:55:02 AM,41.69355586,-87.637564635,"(41.69355586, -87.637564635)"
5514302,3737710,HL106170,12/23/2004 01:00:00 PM,002XX W WACKER DR,0890,THEFT,FROM BUILDING,COMMERCIAL / BUSINESS OFFICE,False,False,113,1.0,42.0,32.0,06,1174575.0,1902121.0,2004,04/15/2016 08:55:02 AM,41.886816493,-87.634366196,"(41.886816493, -87.634366196)"
5514304,3737712,HK834072,12/29/2004 01:15:00 PM,006XX W 43RD PL,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,False,935,9.0,11.0,61.0,08B,1172712.0,1876056.0,2004,04/15/2016 08:55:02 AM,41.815333502,-87.641978189,"(41.815333502, -87.641978189)"
5514305,3737713,HK786199,12/02/2004 08:15:00 PM,008XX N STATE ST,0470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,CTA PLATFORM,True,False,1832,18.0,42.0,8.0,24,1176223.0,1905805.0,2004,04/15/2016 08:55:02 AM,41.896888586,-87.628203192,"(41.896888586, -87.628203192)"
5514306,3737714,HK828488,12/23/2004 09:07:00 PM,021XX N HALSTED ST,2820,OTHER OFFENSE,TELEPHONE THREAT,CHA APARTMENT,False,True,1812,18.0,43.0,7.0,26,1170603.0,1914380.0,2004,04/15/2016 08:55:02 AM,41.920543756,-87.648592978,"(41.920543756, -87.648592978)"
5514307,3737717,HK670579,10/06/2004 08:40:00 PM,078XX S YATES BLVD,2027,NARCOTICS,POSS: CRACK,RESIDENCE,True,False,414,4.0,7.0,43.0,18,1193558.0,1853449.0,2004,04/15/2016 08:55:02 AM,41.752812742,-87.566252678,"(41.752812742, -87.566252678)"
5514309,3737719,HL105080,11/16/2004 07:00:00 PM,099XX S TORRENCE AVE,0820,THEFT,$500 AND UNDER,STREET,False,False,431,4.0,7.0,51.0,06,1195451.0,1839656.0,2004,04/15/2016 08:55:02 AM,41.714917052,-87.559770032,"(41.714917052, -87.559770032)"
5514314,3737723,HL105899,12/17/2004 12:01:00 AM,039XX N LINCOLN AVE,0840,THEFT,FINANCIAL ID THEFT: OVER $300,BANK,False,False,1923,19.0,47.0,5.0,06,1162409.0,1926359.0,2004,04/15/2016 08:55:02 AM,41.953590428,-87.678363019,"(41.953590428, -87.678363019)"
5514315,3737725,HK833533,12/28/2004 06:30:00 AM,005XX W 44TH ST,0560,ASSAULT,SIMPLE,STREET,False,False,935,9.0,11.0,61.0,08A,1173636.0,1875751.0,2004,04/15/2016 08:55:02 AM,41.814476103,-87.638597867,"(41.814476103, -87.638597867)"
5514316,3737727,HK824825,12/23/2004 03:35:11 PM,032XX W DOUGLAS BLVD,2024,NARCOTICS,POSS: HEROIN(WHITE),SIDEWALK,True,False,1022,10.0,24.0,29.0,18,1155120.0,1893275.0,2004,04/15/2016 08:55:02 AM,41.86295478,-87.706047579,"(41.86295478, -87.706047579)"
5514318,3737729,HK769971,11/23/2004 10:55:00 PM,035XX W ARMITAGE AVE,1513,PROSTITUTION,SOLICIT FOR BUSINESS,STREET,True,False,1413,14.0,26.0,22.0,16,1152306.0,1913056.0,2004,04/15/2016 08:55:02 AM,41.917291808,-87.715855006,"(41.917291808, -87.715855006)"
5514322,3737733,HK823429,12/21/2004 01:30:00 PM,0000X E GRAND AVE,0460,BATTERY,SIMPLE,RESTAURANT,False,False,1834,18.0,42.0,8.0,08B,1176809.0,1903917.0,2004,04/15/2016 08:55:02 AM,41.891694584,-87.626108089,"(41.891694584, -87.626108089)"
5514325,3737736,HK814773,12/17/2004 08:35:00 PM,018XX N LINCOLN AVE,0560,ASSAULT,SIMPLE,STREET,False,False,1814,18.0,43.0,7.0,08A,1174126.0,1912790.0,2004,04/15/2016 08:55:02 AM,41.916102806,-87.635696416,"(41.916102806, -87.635696416)"
